"漢字","部首","部首名","出どころ","なぜ確認が必要か","承認","確認日","メモ"
"黄","黃","き","KANJIDIC2（康熙214部首）＋『漢検漢字辞典』の部首名","ほかの出典と照合できなかった","","",""
"戸","戶","と","KANJIDIC2（康熙214部首）＋『漢検漢字辞典』の部首名","ほかの出典と照合できなかった","","",""
"所","戶","と","KANJIDIC2（康熙214部首）＋『漢検漢字辞典』の部首名","ほかの出典と照合できなかった","","",""
"申","田","た","KANJIDIC2（康熙214部首）＋『漢検漢字辞典』の部首名","ほかの出典と照合できなかった","","",""
"青","靑","あお","KANJIDIC2（康熙214部首）＋『漢検漢字辞典』の部首名","ほかの出典と照合できなかった","","",""
"静","靑","あお","KANJIDIC2（康熙214部首）＋『漢検漢字辞典』の部首名","ほかの出典と照合できなかった","","",""
"全","入","いる","KANJIDIC2（康熙214部首）＋『漢検漢字辞典』の部首名","ほかの出典と照合できなかった","","",""
"当","彐","けいがしら","KANJIDIC2（康熙214部首）＋『漢検漢字辞典』の部首名","ほかの出典と照合できなかった","","",""
"由","田","た","KANJIDIC2（康熙214部首）＋『漢検漢字辞典』の部首名","ほかの出典と照合できなかった","","",""
