"漢字","学年","画数","部首の候補","部首のもとの字","出どころ","正しい部首（ちがう場合だけ記入）","部首名（ひらがなで記入）"
"富","4年","12","宀","","KanjiVGからの推定","",""
"副","4年","11","刀","","KanjiVGからの推定","",""
"兵","4年","7","八","","KanjiVGからの推定","",""
"別","4年","7","刀","","KanjiVGからの推定","",""
"辺","4年","5","辵","","KanjiVGからの推定","",""
"変","4年","9","夂","","KanjiVGからの推定","",""
"便","4年","9","人","","KanjiVGからの推定","",""
"包","4年","5","勹","","KanjiVGからの推定","",""
"法","4年","8","水","","KanjiVGからの推定","",""
"望","4年","11","月","","KanjiVGからの推定","",""
"牧","4年","8","牛","","KanjiVGからの推定","",""
"末","4年","5","木","","KanjiVGからの推定","",""
"満","4年","12","水","","KanjiVGからの推定","",""
"未","4年","5","木","","KanjiVGからの推定","",""
"民","4年","5","氏","","KanjiVGからの推定","",""
"無","4年","12","火","","KanjiVGからの推定","",""
"約","4年","9","糸","","KanjiVGからの推定","",""
"勇","4年","9","力","","KanjiVGからの推定","",""
"要","4年","9","襾","","KanjiVGからの推定","",""
"養","4年","15","食","","KanjiVGからの推定","",""
"浴","4年","10","水","","KanjiVGからの推定","",""
"利","4年","7","刀","","KanjiVGからの推定","",""
"陸","4年","11","阜","","KanjiVGからの推定","",""
"良","4年","7","艮","","KanjiVGからの推定","",""
"料","4年","10","斗","","KanjiVGからの推定","",""
"量","4年","12","里","","KanjiVGからの推定","",""
"輪","4年","15","車","","KanjiVGからの推定","",""
"類","4年","18","頁","","KanjiVGからの推定","",""
"令","4年","5","人","","KanjiVGからの推定","",""
"冷","4年","7","冫","","KanjiVGからの推定","",""
"例","4年","8","人","","KanjiVGからの推定","",""
"連","4年","10","辵","","KanjiVGからの推定","",""
"老","4年","6","老","","KanjiVGからの推定","",""
"労","4年","7","力","","KanjiVGからの推定","",""
"録","4年","16","金","","KanjiVGからの推定","",""
"圧","5年","5","土","","KanjiVGからの推定","",""
"囲","5年","7","囗","","KanjiVGからの推定","",""
"移","5年","11","禾","","KanjiVGからの推定","",""
"因","5年","6","囗","","KanjiVGからの推定","",""
"永","5年","5","水","","KanjiVGからの推定","",""
"営","5年","12","口","","KanjiVGからの推定","",""
"衛","5年","16","行","","KanjiVGからの推定","",""
"易","5年","8","日","","KanjiVGからの推定","",""
"益","5年","10","皿","","KanjiVGからの推定","",""
"液","5年","11","水","","KanjiVGからの推定","",""
"演","5年","14","水","","KanjiVGからの推定","",""
"応","5年","7","心","","KanjiVGからの推定","",""
"往","5年","8","彳","","KanjiVGからの推定","",""
"桜","5年","10","木","","KanjiVGからの推定","",""
"可","5年","5","口","","KanjiVGからの推定","",""
"仮","5年","6","人","","KanjiVGからの推定","",""
"価","5年","8","人","","KanjiVGからの推定","",""
"河","5年","8","水","","KanjiVGからの推定","",""
"過","5年","12","辵","","KanjiVGからの推定","",""
"快","5年","7","心","","KanjiVGからの推定","",""
"解","5年","13","角","","KanjiVGからの推定","",""
"格","5年","10","木","","KanjiVGからの推定","",""
"確","5年","15","石","","KanjiVGからの推定","",""
"額","5年","18","頁","","KanjiVGからの推定","",""
"刊","5年","5","刀","","KanjiVGからの推定","",""
"幹","5年","13","干","","KanjiVGからの推定","",""
"慣","5年","14","心","","KanjiVGからの推定","",""
"眼","5年","11","目","","KanjiVGからの推定","",""
"紀","5年","9","糸","","KanjiVGからの推定","",""
"基","5年","11","土","","KanjiVGからの推定","",""
"寄","5年","11","宀","","KanjiVGからの推定","",""
"規","5年","11","見","","KanjiVGからの推定","",""
"喜","5年","12","口","","KanjiVGからの推定","",""
"技","5年","7","手","","KanjiVGからの推定","",""
"義","5年","13","羊","","KanjiVGからの推定","",""
"逆","5年","9","辵","","KanjiVGからの推定","",""
"久","5年","3","丿","","KanjiVGからの推定","",""
"旧","5年","5","日","","KanjiVGからの推定","",""
"救","5年","11","攴","","KanjiVGからの推定","",""
"居","5年","8","尸","","KanjiVGからの推定","",""
"許","5年","11","言","","KanjiVGからの推定","",""
"境","5年","14","土","","KanjiVGからの推定","",""
"均","5年","7","土","","KanjiVGからの推定","",""
"禁","5年","13","示","","KanjiVGからの推定","",""
"句","5年","5","口","","KanjiVGからの推定","",""
"型","5年","9","土","","KanjiVGからの推定","",""
"経","5年","11","糸","","KanjiVGからの推定","",""
"潔","5年","15","水","","KanjiVGからの推定","",""
"件","5年","6","人","","KanjiVGからの推定","",""
"険","5年","11","阜","","KanjiVGからの推定","",""
"検","5年","12","木","","KanjiVGからの推定","",""
"限","5年","9","阜","","KanjiVGからの推定","",""
"現","5年","11","玉","","KanjiVGからの推定","",""
"減","5年","12","水","","KanjiVGからの推定","",""
"故","5年","9","攴","","KanjiVGからの推定","",""
"個","5年","10","人","","KanjiVGからの推定","",""
"護","5年","20","言","","KanjiVGからの推定","",""
"効","5年","8","力","","KanjiVGからの推定","",""
"厚","5年","9","厂","","KanjiVGからの推定","",""
"耕","5年","10","耒","","KanjiVGからの推定","",""
"航","5年","10","舟","","KanjiVGからの推定","",""
"鉱","5年","13","金","","KanjiVGからの推定","",""
"構","5年","14","木","","KanjiVGからの推定","",""
"興","5年","16","臼","","KanjiVGからの推定","",""
"講","5年","17","言","","KanjiVGからの推定","",""
"告","5年","7","口","","KanjiVGからの推定","",""
"混","5年","11","水","","KanjiVGからの推定","",""
"査","5年","9","木","","KanjiVGからの推定","",""
"再","5年","6","冂","","KanjiVGからの推定","",""
"災","5年","7","火","","KanjiVGからの推定","",""
"妻","5年","8","女","","KanjiVGからの推定","",""
"採","5年","11","手","","KanjiVGからの推定","",""
"際","5年","14","阜","","KanjiVGからの推定","",""
"在","5年","6","土","","KanjiVGからの推定","",""
"財","5年","10","貝","","KanjiVGからの推定","",""
"罪","5年","13","网","","KanjiVGからの推定","",""
"殺","5年","10","殳","","KanjiVGからの推定","",""
"雑","5年","14","隹","","KanjiVGからの推定","",""
"酸","5年","14","酉","","KanjiVGからの推定","",""
"賛","5年","15","貝","","KanjiVGからの推定","",""
"士","5年","3","士","","KanjiVGからの推定","",""
"支","5年","4","支","","KanjiVGからの推定","",""
"史","5年","5","口","","KanjiVGからの推定","",""
"志","5年","7","心","","KanjiVGからの推定","",""
"枝","5年","8","木","","KanjiVGからの推定","",""
"師","5年","10","巾","","KanjiVGからの推定","",""
"資","5年","13","貝","","KanjiVGからの推定","",""
"飼","5年","13","食","","KanjiVGからの推定","",""
"示","5年","5","示","","KanjiVGからの推定","",""
"似","5年","7","人","","KanjiVGからの推定","",""
"識","5年","19","言","","KanjiVGからの推定","",""
"質","5年","15","貝","","KanjiVGからの推定","",""
"舎","5年","8","人","","KanjiVGからの推定","",""
"謝","5年","17","言","","KanjiVGからの推定","",""
"授","5年","11","手","","KanjiVGからの推定","",""
"修","5年","10","人","","KanjiVGからの推定","",""
"述","5年","8","辵","","KanjiVGからの推定","",""
"術","5年","11","行","","KanjiVGからの推定","",""
"準","5年","13","水","","KanjiVGからの推定","",""
"序","5年","7","广","","KanjiVGからの推定","",""
"招","5年","8","手","","KanjiVGからの推定","",""
"証","5年","12","言","","KanjiVGからの推定","",""
"象","5年","12","豕","","KanjiVGからの推定","",""
"賞","5年","15","貝","","KanjiVGからの推定","",""
"条","5年","7","木","","KanjiVGからの推定","",""
"状","5年","7","犬","","KanjiVGからの推定","",""
"常","5年","11","巾","","KanjiVGからの推定","",""
"情","5年","11","心","","KanjiVGからの推定","",""
"織","5年","18","糸","","KanjiVGからの推定","",""
"職","5年","18","耳","","KanjiVGからの推定","",""
"制","5年","8","刀","","KanjiVGからの推定","",""
"性","5年","8","心","","KanjiVGからの推定","",""
"政","5年","9","攴","","KanjiVGからの推定","",""
"勢","5年","13","力","","KanjiVGからの推定","",""
"精","5年","14","米","","KanjiVGからの推定","",""
"製","5年","14","衣","","KanjiVGからの推定","",""
"税","5年","12","禾","","KanjiVGからの推定","",""
"責","5年","11","貝","","KanjiVGからの推定","",""
"績","5年","17","糸","","KanjiVGからの推定","",""
"接","5年","11","手","","KanjiVGからの推定","",""
"設","5年","11","言","","KanjiVGからの推定","",""
"絶","5年","12","糸","","KanjiVGからの推定","",""
"祖","5年","9","示","","KanjiVGからの推定","",""
"素","5年","10","糸","","KanjiVGからの推定","",""
"総","5年","14","糸","","KanjiVGからの推定","",""
"造","5年","10","辵","","KanjiVGからの推定","",""
"像","5年","14","人","","KanjiVGからの推定","",""
"増","5年","14","土","","KanjiVGからの推定","",""
"則","5年","9","刀","","KanjiVGからの推定","",""
"測","5年","12","水","","KanjiVGからの推定","",""
"属","5年","12","尸","","KanjiVGからの推定","",""
"率","5年","11","玄","","KanjiVGからの推定","",""
"損","5年","13","手","","KanjiVGからの推定","",""
"貸","5年","12","貝","","KanjiVGからの推定","",""
"態","5年","14","心","","KanjiVGからの推定","",""
"団","5年","6","囗","","KanjiVGからの推定","",""
"断","5年","11","斤","","KanjiVGからの推定","",""
"築","5年","16","竹","","KanjiVGからの推定","",""
"貯","5年","12","貝","","KanjiVGからの推定","",""
"張","5年","11","弓","","KanjiVGからの推定","",""
"停","5年","11","人","","KanjiVGからの推定","",""
"提","5年","12","手","","KanjiVGからの推定","",""
"程","5年","12","禾","","KanjiVGからの推定","",""
"適","5年","14","辵","","KanjiVGからの推定","",""
"統","5年","12","糸","","KanjiVGからの推定","",""
"堂","5年","11","土","","KanjiVGからの推定","",""
"銅","5年","14","金","","KanjiVGからの推定","",""
"導","5年","15","寸","","KanjiVGからの推定","",""
"得","5年","11","彳","","KanjiVGからの推定","",""
"毒","5年","8","毋","","KanjiVGからの推定","",""
"独","5年","9","犬","","KanjiVGからの推定","",""
"任","5年","6","人","","KanjiVGからの推定","",""
"燃","5年","16","火","","KanjiVGからの推定","",""
"能","5年","10","肉","","KanjiVGからの推定","",""
"破","5年","10","石","","KanjiVGからの推定","",""
"犯","5年","5","犬","","KanjiVGからの推定","",""
"判","5年","7","刀","","KanjiVGからの推定","",""
"版","5年","8","片","","KanjiVGからの推定","",""
"比","5年","4","比","","KanjiVGからの推定","",""
"肥","5年","8","肉","","KanjiVGからの推定","",""
"非","5年","8","非","","KanjiVGからの推定","",""
"費","5年","12","貝","","KanjiVGからの推定","",""
"備","5年","12","人","","KanjiVGからの推定","",""
"評","5年","12","言","","KanjiVGからの推定","",""
"貧","5年","11","貝","","KanjiVGからの推定","",""
"布","5年","5","巾","","KanjiVGからの推定","",""
"婦","5年","11","女","","KanjiVGからの推定","",""
"武","5年","8","止","","KanjiVGからの推定","",""
"復","5年","12","彳","","KanjiVGからの推定","",""
"複","5年","14","衣","","KanjiVGからの推定","",""
"仏","5年","4","人","","KanjiVGからの推定","",""
"粉","5年","10","米","","KanjiVGからの推定","",""
"編","5年","15","糸","","KanjiVGからの推定","",""
"弁","5年","5","廾","","KanjiVGからの推定","",""
"保","5年","9","人","","KanjiVGからの推定","",""
"墓","5年","13","土","","KanjiVGからの推定","",""
"報","5年","12","土","","KanjiVGからの推定","",""
"豊","5年","13","豆","","KanjiVGからの推定","",""
"防","5年","7","阜","","KanjiVGからの推定","",""
"貿","5年","12","貝","","KanjiVGからの推定","",""
"暴","5年","15","日","","KanjiVGからの推定","",""
"脈","5年","10","肉","","KanjiVGからの推定","",""
"務","5年","11","力","","KanjiVGからの推定","",""
"夢","5年","13","夕","","KanjiVGからの推定","",""
"迷","5年","9","辵","","KanjiVGからの推定","",""
"綿","5年","14","糸","","KanjiVGからの推定","",""
"輸","5年","16","車","","KanjiVGからの推定","",""
"余","5年","7","人","","KanjiVGからの推定","",""
"容","5年","10","宀","","KanjiVGからの推定","",""
"略","5年","11","田","","KanjiVGからの推定","",""
"留","5年","10","田","","KanjiVGからの推定","",""
"領","5年","14","頁","","KanjiVGからの推定","",""
"歴","5年","14","止","","KanjiVGからの推定","",""
"胃","6年","9","肉","","KanjiVGからの推定","",""
"異","6年","11","田","","KanjiVGからの推定","",""
"遺","6年","15","辵","","KanjiVGからの推定","",""
"域","6年","11","土","","KanjiVGからの推定","",""
"宇","6年","6","宀","","KanjiVGからの推定","",""
"映","6年","9","日","","KanjiVGからの推定","",""
"延","6年","8","廴","","KanjiVGからの推定","",""
"沿","6年","8","水","","KanjiVGからの推定","",""
"恩","6年","10","心","","KanjiVGからの推定","",""
"我","6年","7","戈","","KanjiVGからの推定","",""
"灰","6年","6","火","","KanjiVGからの推定","",""
"拡","6年","8","手","","KanjiVGからの推定","",""
"革","6年","9","革","","KanjiVGからの推定","",""
"閣","6年","14","門","","KanjiVGからの推定","",""
"割","6年","12","刀","","KanjiVGからの推定","",""
"株","6年","10","木","","KanjiVGからの推定","",""
"干","6年","3","干","","KanjiVGからの推定","",""
"巻","6年","9","己","","KanjiVGからの推定","",""
"看","6年","9","目","","KanjiVGからの推定","",""
"簡","6年","18","竹","","KanjiVGからの推定","",""
"危","6年","6","卩","","KanjiVGからの推定","",""
"机","6年","6","木","","KanjiVGからの推定","",""
"揮","6年","12","手","","KanjiVGからの推定","",""
"貴","6年","12","貝","","KanjiVGからの推定","",""
"疑","6年","14","疋","","KanjiVGからの推定","",""
"吸","6年","6","口","","KanjiVGからの推定","",""
"供","6年","8","人","","KanjiVGからの推定","",""
"胸","6年","10","肉","","KanjiVGからの推定","",""
"郷","6年","11","邑","","KanjiVGからの推定","",""
"勤","6年","12","力","","KanjiVGからの推定","",""
"筋","6年","12","竹","","KanjiVGからの推定","",""
"系","6年","7","糸","","KanjiVGからの推定","",""
"敬","6年","12","攴","","KanjiVGからの推定","",""
"警","6年","19","言","","KanjiVGからの推定","",""
"劇","6年","15","刀","","KanjiVGからの推定","",""
"激","6年","16","水","","KanjiVGからの推定","",""
"穴","6年","5","穴","","KanjiVGからの推定","",""
"券","6年","8","刀","","KanjiVGからの推定","",""
"絹","6年","13","糸","","KanjiVGからの推定","",""
"権","6年","15","木","","KanjiVGからの推定","",""
"憲","6年","16","心","","KanjiVGからの推定","",""
"源","6年","13","水","","KanjiVGからの推定","",""
"厳","6年","17","厂","","KanjiVGからの推定","",""
"己","6年","3","己","","KanjiVGからの推定","",""
"呼","6年","8","口","","KanjiVGからの推定","",""
"誤","6年","14","言","","KanjiVGからの推定","",""
"后","6年","6","口","","KanjiVGからの推定","",""
"孝","6年","7","子","","KanjiVGからの推定","",""
"皇","6年","9","白","","KanjiVGからの推定","",""
"紅","6年","9","糸","","KanjiVGからの推定","",""
"降","6年","10","阜","","KanjiVGからの推定","",""
"鋼","6年","16","金","","KanjiVGからの推定","",""
"刻","6年","8","刀","","KanjiVGからの推定","",""
"穀","6年","14","禾","","KanjiVGからの推定","",""
"骨","6年","10","骨","","KanjiVGからの推定","",""
"困","6年","7","囗","","KanjiVGからの推定","",""
"砂","6年","9","石","","KanjiVGからの推定","",""
"座","6年","10","广","","KanjiVGからの推定","",""
"済","6年","11","水","","KanjiVGからの推定","",""
"裁","6年","12","衣","","KanjiVGからの推定","",""
"策","6年","12","竹","","KanjiVGからの推定","",""
"冊","6年","5","冂","","KanjiVGからの推定","",""
"蚕","6年","10","虫","","KanjiVGからの推定","",""
"至","6年","6","至","","KanjiVGからの推定","",""
"私","6年","7","禾","","KanjiVGからの推定","",""
"姿","6年","9","女","","KanjiVGからの推定","",""
"視","6年","11","見","","KanjiVGからの推定","",""
"詞","6年","12","言","","KanjiVGからの推定","",""
"誌","6年","14","言","","KanjiVGからの推定","",""
"磁","6年","14","石","","KanjiVGからの推定","",""
"射","6年","10","寸","","KanjiVGからの推定","",""
"捨","6年","11","手","","KanjiVGからの推定","",""
"尺","6年","4","尸","","KanjiVGからの推定","",""
"若","6年","8","艸","","KanjiVGからの推定","",""
"樹","6年","16","木","","KanjiVGからの推定","",""
"収","6年","4","又","","KanjiVGからの推定","",""
"宗","6年","8","宀","","KanjiVGからの推定","",""
"就","6年","12","尢","","KanjiVGからの推定","",""
"衆","6年","12","血","","KanjiVGからの推定","",""
"従","6年","10","彳","","KanjiVGからの推定","",""
"縦","6年","16","糸","","KanjiVGからの推定","",""
"縮","6年","17","糸","","KanjiVGからの推定","",""
"熟","6年","15","火","","KanjiVGからの推定","",""
"純","6年","10","糸","","KanjiVGからの推定","",""
"処","6年","5","几","","KanjiVGからの推定","",""
"署","6年","13","网","","KanjiVGからの推定","",""
"諸","6年","15","言","","KanjiVGからの推定","",""
"除","6年","10","阜","","KanjiVGからの推定","",""
"承","6年","8","手","","KanjiVGからの推定","",""
"将","6年","10","寸","","KanjiVGからの推定","",""
"傷","6年","13","人","","KanjiVGからの推定","",""
"障","6年","14","阜","","KanjiVGからの推定","",""
"蒸","6年","13","艸","","KanjiVGからの推定","",""
"針","6年","10","金","","KanjiVGからの推定","",""
"仁","6年","4","人","","KanjiVGからの推定","",""
"垂","6年","8","土","","KanjiVGからの推定","",""
"推","6年","11","手","","KanjiVGからの推定","",""
"寸","6年","3","寸","","KanjiVGからの推定","",""
"盛","6年","11","皿","","KanjiVGからの推定","",""
"聖","6年","13","耳","","KanjiVGからの推定","",""
"誠","6年","13","言","","KanjiVGからの推定","",""
"舌","6年","6","舌","","KanjiVGからの推定","",""
"宣","6年","9","宀","","KanjiVGからの推定","",""
"専","6年","9","寸","","KanjiVGからの推定","",""
"泉","6年","9","水","","KanjiVGからの推定","",""
"洗","6年","9","水","","KanjiVGからの推定","",""
"染","6年","9","木","","KanjiVGからの推定","",""
"銭","6年","14","金","","KanjiVGからの推定","",""
"善","6年","12","口","","KanjiVGからの推定","",""
"奏","6年","9","大","","KanjiVGからの推定","",""
"窓","6年","11","穴","","KanjiVGからの推定","",""
"創","6年","12","刀","","KanjiVGからの推定","",""
"装","6年","12","衣","","KanjiVGからの推定","",""
"層","6年","14","尸","","KanjiVGからの推定","",""
"操","6年","16","手","","KanjiVGからの推定","",""
"蔵","6年","15","艸","","KanjiVGからの推定","",""
"臓","6年","19","肉","","KanjiVGからの推定","",""
"存","6年","6","子","","KanjiVGからの推定","",""
"尊","6年","12","寸","","KanjiVGからの推定","",""
"退","6年","9","辵","","KanjiVGからの推定","",""
"宅","6年","6","宀","","KanjiVGからの推定","",""
"担","6年","8","手","","KanjiVGからの推定","",""
"探","6年","11","手","","KanjiVGからの推定","",""
"誕","6年","15","言","","KanjiVGからの推定","",""
"段","6年","9","殳","","KanjiVGからの推定","",""
"暖","6年","13","日","","KanjiVGからの推定","",""
"値","6年","10","人","","KanjiVGからの推定","",""
"宙","6年","8","宀","","KanjiVGからの推定","",""
"忠","6年","8","心","","KanjiVGからの推定","",""
"著","6年","11","艸","","KanjiVGからの推定","",""
"庁","6年","5","广","","KanjiVGからの推定","",""
"頂","6年","11","頁","","KanjiVGからの推定","",""
"腸","6年","13","肉","","KanjiVGからの推定","",""
"潮","6年","15","水","","KanjiVGからの推定","",""
"賃","6年","13","貝","","KanjiVGからの推定","",""
"痛","6年","12","疒","","KanjiVGからの推定","",""
"敵","6年","15","攴","","KanjiVGからの推定","",""
"展","6年","10","尸","","KanjiVGからの推定","",""
"討","6年","10","言","","KanjiVGからの推定","",""
"党","6年","10","儿","","KanjiVGからの推定","",""
"糖","6年","16","米","","KanjiVGからの推定","",""
"届","6年","8","尸","","KanjiVGからの推定","",""
"難","6年","18","隹","","KanjiVGからの推定","",""
"乳","6年","8","乙","","KanjiVGからの推定","",""
"認","6年","14","言","","KanjiVGからの推定","",""
"納","6年","10","糸","","KanjiVGからの推定","",""
"脳","6年","11","肉","","KanjiVGからの推定","",""
"派","6年","9","水","","KanjiVGからの推定","",""
"拝","6年","8","手","","KanjiVGからの推定","",""
"背","6年","9","肉","","KanjiVGからの推定","",""
"肺","6年","9","肉","","KanjiVGからの推定","",""
"俳","6年","10","人","","KanjiVGからの推定","",""
"班","6年","10","玉","","KanjiVGからの推定","",""
"晩","6年","12","日","","KanjiVGからの推定","",""
"否","6年","7","口","","KanjiVGからの推定","",""
"批","6年","7","手","","KanjiVGからの推定","",""
"秘","6年","10","禾","","KanjiVGからの推定","",""
"俵","6年","10","人","","KanjiVGからの推定","",""
"腹","6年","13","肉","","KanjiVGからの推定","",""
"奮","6年","16","大","","KanjiVGからの推定","",""
"並","6年","8","一","","KanjiVGからの推定","",""
"陛","6年","10","阜","","KanjiVGからの推定","",""
"閉","6年","11","門","","KanjiVGからの推定","",""
"片","6年","4","片","","KanjiVGからの推定","",""
"補","6年","12","衣","","KanjiVGからの推定","",""
"暮","6年","14","日","","KanjiVGからの推定","",""
"宝","6年","8","宀","","KanjiVGからの推定","",""
"訪","6年","11","言","","KanjiVGからの推定","",""
"亡","6年","3","亠","","KanjiVGからの推定","",""
"忘","6年","7","心","","KanjiVGからの推定","",""
"棒","6年","12","木","","KanjiVGからの推定","",""
"枚","6年","8","木","","KanjiVGからの推定","",""
"幕","6年","13","巾","","KanjiVGからの推定","",""
"密","6年","11","宀","","KanjiVGからの推定","",""
"盟","6年","13","皿","","KanjiVGからの推定","",""
"模","6年","14","木","","KanjiVGからの推定","",""
"訳","6年","11","言","","KanjiVGからの推定","",""
"郵","6年","11","邑","","KanjiVGからの推定","",""
"優","6年","17","人","","KanjiVGからの推定","",""
"預","6年","13","頁","","KanjiVGからの推定","",""
"幼","6年","5","幺","","KanjiVGからの推定","",""
"欲","6年","11","欠","","KanjiVGからの推定","",""
"翌","6年","11","羽","","KanjiVGからの推定","",""
"乱","6年","7","乙","","KanjiVGからの推定","",""
"卵","6年","7","卩","","KanjiVGからの推定","",""
"覧","6年","17","見","","KanjiVGからの推定","",""
"裏","6年","13","衣","","KanjiVGからの推定","",""
"律","6年","9","彳","","KanjiVGからの推定","",""
"臨","6年","18","臣","","KanjiVGからの推定","",""
"朗","6年","10","月","","KanjiVGからの推定","",""
"論","6年","15","言","","KanjiVGからの推定","",""
