"熟語","読み","出題級","種類","ほかの読み","よく使う順位","出典","校正状態"
"日本","にほん","6級から","","にほん / にっぽん","102","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"自分","じぶん","6級から","","","114","常用漢字表","校正不要"
"問題","もんだい","6級から","","","122","常用漢字表","校正不要"
"時間","じかん","6級から","","","163","常用漢字表","校正不要"
"場合","ばあい","6級から","","","167","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"必要","ひつよう","6級から","","","168","常用漢字表","校正不要"
"情報","じょうほう","6級から","","","170","常用漢字表","校正不要"
"今日","きょう","6級から","熟字訓","きょう / こんにち / こんち / こんじつ","201","常用漢字表（付表・熟字訓）","校正不要"
"関係","かんけい","6級から","","","203","常用漢字表","校正不要"
"委員","いいん","6級から","","","205","常用漢字表","校正不要"
"世界","せかい","6級から","","","211","常用漢字表","校正不要"
"社会","しゃかい","6級から","","","220","常用漢字表","校正不要"
"仕事","しごと","6級から","","","226","常用漢字表","校正不要"
"記事","きじ","6級から","","","229","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"意味","いみ","6級から","","","244","常用漢字表","校正不要"
"以上","いじょう","6級から","","","247","常用漢字表","校正不要"
"会社","かいしゃ","6級から","","","250","常用漢字表","校正不要"
"人間","にんげん","6級から","","にんげん / じんかん","258","常用漢字表","校正不要"
"現在","げんざい","6級から","","","264","常用漢字表","校正不要"
"可能","かのう","6級から","","","271","常用漢字表","校正不要"
"研究","けんきゅう","6級から","","","272","常用漢字表","校正不要"
"今回","こんかい","6級から","","","279","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"言葉","ことば","6級から","","","283","常用漢字表","校正不要"
"経済","けいざい","5級から","","","291","常用漢字表","校正不要"
"最近","さいきん","6級から","","","297","常用漢字表","校正不要"
"結果","けっか","6級から","","","298","常用漢字表","校正不要"
"映画","えいが","5級から","","","302","常用漢字表","校正不要"
"先生","せんせい","6級から","","せんせい / せんじょう / せんしょう","304","常用漢字表","校正不要"
"生活","せいかつ","6級から","","","305","常用漢字表","校正不要"
"時代","じだい","6級から","","","309","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"政府","せいふ","6級から","","","310","常用漢字表","校正不要"
"非常","ひじょう","6級から","","","311","常用漢字表","校正不要"
"内容","ないよう","6級から","","","318","常用漢字表","校正不要"
"説明","せつめい","6級から","","","324","常用漢字表","校正不要"
"写真","しゃしん","6級から","","","326","常用漢字表","校正不要"
"教育","きょういく","6級から","","","329","常用漢字表","校正不要"
"女性","じょせい","6級から","","じょせい / にょしょう","330","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"子供","こども","5級から","","","331","常用漢字表","校正不要"
"方法","ほうほう","6級から","","","332","常用漢字表","校正不要"
"利用","りよう","6級から","","","337","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"技術","ぎじゅつ","6級から","","","342","常用漢字表","校正不要"
"名前","なまえ","6級から","","","345","常用漢字表","校正不要"
"参加","さんか","6級から","","","346","常用漢字表","校正不要"
"活動","かつどう","6級から","","","357","常用漢字表","校正不要"
"東京","とうきょう","6級から","","とうきょう / とうけい","358","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"管理","かんり","6級から","","","365","常用漢字表","校正不要"
"地域","ちいき","5級から","","","371","常用漢字表","校正不要"
"実際","じっさい","6級から","","","375","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"中国","ちゅうごく","6級から","","ちゅうごく / ちゅうこく","376","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"個人","こじん","6級から","","","381","常用漢字表","校正不要"
"意見","いけん","6級から","","","382","常用漢字表","校正不要"
"状態","じょうたい","6級から","","","383","常用漢字表","校正不要"
"大学","だいがく","6級から","","","385","常用漢字表","校正不要"
"存在","そんざい","5級から","","","387","常用漢字表","校正不要"
"最後","さいご","6級から","","","388","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"理解","りかい","6級から","","","394","常用漢字表","校正不要"
"学校","がっこう","6級から","","","395","常用漢字表","校正不要"
"部分","ぶぶん","6級から","","","396","常用漢字表","校正不要"
"電話","でんわ","6級から","","","400","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"日記","にっき","6級から","","","407","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"制度","せいど","6級から","","","410","常用漢字表","校正不要"
"使用","しよう","6級から","","","411","常用漢字表","校正不要"
"事業","じぎょう","6級から","","","412","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"固定","こてい","6級から","","","416","常用漢字表","校正不要"
"調査","ちょうさ","6級から","","","417","常用漢字表","校正不要"
"基本","きほん","6級から","","","418","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"関連","かんれん","6級から","","","420","常用漢字表","校正不要"
"開発","かいはつ","6級から","","かいはつ / かいほつ","424","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"音楽","おんがく","6級から","","","426","常用漢字表","校正不要"
"一番","いちばん","6級から","","いちばん / ひとつがい","427","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"作品","さくひん","6級から","","","429","常用漢字表","校正不要"
"重要","じゅうよう","6級から","","","431","常用漢字表","校正不要"
"出来","しゅったい","6級から","","しゅったい / しゅつらい / でき","433","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"最初","さいしょ","6級から","","","435","常用漢字表","校正不要"
"国民","こくみん","6級から","","こくみん / くにたみ","438","常用漢字表","校正不要"
"事件","じけん","6級から","","","449","常用漢字表","校正不要"
"英語","えいご","6級から","","","450","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"質問","しつもん","6級から","","","452","常用漢字表","校正不要"
"主義","しゅぎ","6級から","","","460","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"理由","りゆう","6級から","","りゆう / わけ","465","常用漢字表","校正不要"
"場所","ばしょ","6級から","","","475","常用漢字表","校正不要"
"機能","きのう","6級から","","","476","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"労働","ろうどう","6級から","","","479","常用漢字表","校正不要"
"相手","あいて","6級から","","","484","常用漢字表","校正不要"
"国際","こくさい","6級から","","","485","常用漢字表","校正不要"
"自身","じしん","6級から","","","486","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"計画","けいかく","6級から","","","489","常用漢字表","校正不要"
"政治","せいじ","6級から","","","491","常用漢字表","校正不要"
"今後","こんご","6級から","","","503","常用漢字表","校正不要"
"文化","ぶんか","6級から","","","507","常用漢字表","校正不要"
"大変","たいへん","6級から","","","511","常用漢字表","校正不要"
"評価","ひょうか","6級から","","","514","常用漢字表","校正不要"
"対応","たいおう","6級から","","","516","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"自由","じゆう","6級から","","","522","常用漢字表","校正不要"
"昨日","きのう","6級から","熟字訓","きのう / さくじつ","525","常用漢字表（付表・熟字訓）","校正不要"
"歴史","れきし","6級から","","","530","常用漢字表","校正不要"
"全体","ぜんたい","6級から","","","531","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"報告","ほうこく","6級から","","","533","常用漢字表","校正不要"
"程度","ていど","6級から","","","534","常用漢字表","校正不要"
"予定","よてい","6級から","","","541","常用漢字表","校正不要"
"代表","だいひょう","6級から","","","542","常用漢字表","校正不要"
"経験","けいけん","6級から","","","545","常用漢字表","校正不要"
"以外","いがい","6級から","","","549","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"今年","ことし","6級から","熟字訓","ことし / こんねん","552","常用漢字表（付表・熟字訓）","校正不要"
"価格","かかく","6級から","","","553","常用漢字表","校正不要"
"投資","とうし","6級から","","","554","常用漢字表","校正不要"
"経営","けいえい","6級から","","","555","常用漢字表","校正不要"
"自然","しぜん","6級から","","しぜん / じねん","560","常用漢字表","校正不要"
"商品","しょうひん","6級から","","","561","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"発表","はっぴょう","6級から","","","563","常用漢字表","校正不要"
"目的","もくてき","6級から","","","564","常用漢字表","校正不要"
"地方","ちほう","6級から","","ちほう / じかた","566","常用漢字表","校正不要"
"選手","せんしゅ","6級から","","","572","常用漢字表","校正不要"
"確認","かくにん","5級から","","","582","常用漢字表","校正不要"
"中心","ちゅうしん","6級から","","","587","常用漢字表","校正不要"
"市場","いちば","6級から","","いちば / しじょう","589","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"提供","ていきょう","5級から","","","591","常用漢字表","校正不要"
"事実","じじつ","6級から","","","594","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"簡単","かんたん","5級から","","","596","常用漢字表","校正不要"
"当然","とうぜん","6級から","","","600","常用漢字表","校正不要"
"以下","いか","6級から","","いか / いげ","601","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"責任","せきにん","6級から","","","602","常用漢字表","校正不要"
"議論","ぎろん","5級から","","","607","常用漢字表","校正不要"
"以前","いぜん","6級から","","","610","常用漢字表","校正不要"
"判断","はんだん","6級から","","","614","常用漢字表","校正不要"
"専門","せんもん","5級から","","","617","常用漢字表","校正不要"
"家族","かぞく","6級から","","","618","常用漢字表","校正不要"
"勉強","べんきょう","6級から","","","624","常用漢字表","校正不要"
"期待","きたい","6級から","","","626","常用漢字表","校正不要"
"効果","こうか","6級から","","","633","常用漢字表","校正不要"
"検討","けんとう","5級から","","","634","常用漢字表","校正不要"
"組織","そしき","6級から","","そしき / そしょく","638","常用漢字表","校正不要"
"政策","せいさく","5級から","","","639","常用漢字表","校正不要"
"行動","こうどう","6級から","","","642","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"年間","ねんかん","6級から","","","644","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"当時","とうじ","6級から","","","647","常用漢字表","校正不要"
"学生","がくせい","6級から","","がくせい / がくしょう","648","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"科学","かがく","6級から","","","656","常用漢字表","校正不要"
"意識","いしき","6級から","","","659","常用漢字表","校正不要"
"生産","せいさん","6級から","","せいさん / せいざん","666","常用漢字表","校正不要"
"表現","ひょうげん","6級から","","","667","常用漢字表","校正不要"
"戦争","せんそう","6級から","","","668","常用漢字表","校正不要"
"参考","さんこう","6級から","","","669","常用漢字表","校正不要"
"決定","けってい","6級から","","","672","常用漢字表","校正不要"
"法律","ほうりつ","5級から","","","680","常用漢字表","校正不要"
"機関","からくり","6級から","","からくり / きかん","682","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"対象","たいしょう","6級から","","","690","常用漢字表","校正不要"
"現実","げんじつ","6級から","","","692","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"対策","たいさく","5級から","","","694","常用漢字表","校正不要"
"作業","さぎょう","6級から","","","695","常用漢字表","校正不要"
"価値","かち","5級から","","","696","常用漢字表","校正不要"
"十分","じっぷん","6級から","","じっぷん / じゅっぷん / じゅうぶん","698","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"一部","いちぶ","6級から","","","699","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"新聞","しんぶん","6級から","","","702","常用漢字表","校正不要"
"一方","いっぽう","6級から","","いっぽう / ひとかた","703","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"大臣","だいじん","6級から","","だいじん / おとど","710","常用漢字表","校正不要"
"国家","こっか","6級から","","","713","常用漢字表","校正不要"
"毎日","まいにち","6級から","","","715","常用漢字表","校正不要"
"試合","しあい","6級から","","","717","常用漢字表","校正不要"
"会議","かいぎ","6級から","","","721","常用漢字表","校正不要"
"製品","せいひん","6級から","","","727","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"変化","へんか","6級から","","へんか / へんげ","728","常用漢字表","校正不要"
"結局","けっきょく","6級から","","","729","常用漢字表","校正不要"
"消費","しょうひ","6級から","","","730","常用漢字表","校正不要"
"保険","ほけん","6級から","","","731","常用漢字表","校正不要"
"具体","ぐたい","6級から","","","733","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"人生","じんせい","6級から","","","734","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"米国","べいこく","6級から","","","736","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"表示","ひょうじ","6級から","","","737","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"精神","せいしん","6級から","","","739","常用漢字表","校正不要"
"過去","かこ","6級から","","","741","常用漢字表","校正不要"
"能力","のうりょく","6級から","","のうりょく / のうりき","747","常用漢字表","校正不要"
"指導","しどう","6級から","","","748","常用漢字表","校正不要"
"公開","こうかい","6級から","","","753","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"担当","たんとう","5級から","","","761","常用漢字表","校正不要"
"明日","あす","6級から","熟字訓","あした / あす / みょうにち","764","常用漢字表（付表・熟字訓）","校正不要"
"旅行","りょこう","6級から","","","765","常用漢字表","校正不要"
"大切","たいせつ","6級から","","たいせつ / おおぎり","772","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"行政","ぎょうせい","6級から","","","775","常用漢字表","校正不要"
"安全","あんぜん","6級から","","あんぜん / あんせん","776","常用漢字表","校正不要"
"外国","がいこく","6級から","","がいこく / そとぐに","777","常用漢字表","校正不要"
"資料","しりょう","6級から","","","779","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"部屋","へや","6級から","熟字訓","","780","常用漢字表（付表・熟字訓）","校正不要"
"平成","へいせい","6級から","","","782","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"登録","とうろく","6級から","","","786","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"設定","せってい","6級から","","","788","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"成功","せいこう","6級から","","","790","常用漢字表","校正不要"
"努力","どりょく","6級から","","","792","常用漢字表","校正不要"
"団体","だんたい","6級から","","","796","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"自己","じこ","5級から","","","800","常用漢字表","校正不要"
"年度","ねんど","6級から","","","802","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"運動","うんどう","6級から","","","803","常用漢字表","校正不要"
"構造","こうぞう","6級から","","","804","常用漢字表","校正不要"
"特別","とくべつ","6級から","","","805","常用漢字表","校正不要"
"解決","かいけつ","6級から","","","807","常用漢字表","校正不要"
"完全","かんぜん","6級から","","","809","常用漢字表","校正不要"
"男性","だんせい","6級から","","","817","常用漢字表","校正不要"
"結構","けっこう","6級から","","","818","常用漢字表","校正不要"
"産業","さんぎょう","6級から","","","820","常用漢字表","校正不要"
"人気","にんき","6級から","","にんき / ひとけ / ひとげ / じんき","826","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"最終","さいしゅう","6級から","","","830","常用漢字表","校正不要"
"保護","ほご","6級から","","","833","常用漢字表","校正不要"
"方向","ほうこう","6級から","","","841","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"改革","かいかく","5級から","","","842","常用漢字表","校正不要"
"健康","けんこう","6級から","","","848","常用漢字表","校正不要"
"障害","しょうがい","5級から","","","849","常用漢字表","校正不要"
"協力","きょうりょく","6級から","","","852","常用漢字表","校正不要"
"時期","じき","6級から","","","853","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"料理","りょうり","6級から","","","854","常用漢字表","校正不要"
"試験","しけん","6級から","","","859","常用漢字表","校正不要"
"立場","たちば","6級から","","たちば / たてば","862","常用漢字表","校正不要"
"条件","じょうけん","6級から","","","866","常用漢字表","校正不要"
"放送","ほうそう","6級から","","","867","常用漢字表","校正不要"
"全国","ぜんこく","6級から","","","869","常用漢字表","校正不要"
"作成","さくせい","6級から","","","874","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"成長","せいちょう","6級から","","","876","常用漢字表","校正不要"
"登場","とうじょう","6級から","","","880","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"知識","ちしき","6級から","","","881","常用漢字表","校正不要"
"実現","じつげん","6級から","","","884","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"友人","ゆうじん","6級から","","","885","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"海外","かいがい","6級から","","","889","常用漢字表","校正不要"
"原因","げんいん","6級から","","","890","常用漢字表","校正不要"
"昨年","さくねん","6級から","","","892","常用漢字表","校正不要"
"病院","びょういん","6級から","","","894","常用漢字表","校正不要"
"認識","にんしき","5級から","","","896","常用漢字表","校正不要"
"段階","だんかい","5級から","","","899","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"発生","はっせい","6級から","","","900","常用漢字表","校正不要"
"反対","はんたい","6級から","","","901","常用漢字表","校正不要"
"期間","きかん","6級から","","","902","常用漢字表","校正不要"
"午後","ごご","6級から","","","906","常用漢字表","校正不要"
"主張","しゅちょう","6級から","","","908","常用漢字表","校正不要"
"番組","ばんぐみ","6級から","","","914","常用漢字表","校正不要"
"今度","こんど","6級から","","","916","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"準備","じゅんび","6級から","","","922","常用漢字表","校正不要"
"処理","しょり","5級から","","","924","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"絶対","ぜったい","6級から","","","930","常用漢字表","校正不要"
"社長","しゃちょう","6級から","","","933","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"体験","たいけん","6級から","","","935","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"基準","きじゅん","6級から","","","937","常用漢字表","校正不要"
"発言","はつげん","6級から","","","938","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"都市","とし","6級から","","","940","常用漢字表","校正不要"
"機会","きかい","6級から","","","943","常用漢字表","校正不要"
"展開","てんかい","5級から","","","944","常用漢字表","校正不要"
"授業","じゅぎょう","6級から","","","945","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"自体","じたい","6級から","","","948","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"興味","きょうみ","6級から","","","949","常用漢字表","校正不要"
"編集","へんしゅう","6級から","","","952","常用漢字表","校正不要"
"週間","しゅうかん","6級から","","","957","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"負担","ふたん","5級から","","","958","常用漢字表","校正不要"
"文字","もじ","6級から","","もじ / もんじ","959","常用漢字表","校正不要"
"最大","さいだい","6級から","","","961","常用漢字表","校正不要"
"無料","むりょう","6級から","","","962","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"相談","そうだん","6級から","","","963","常用漢字表","校正不要"
"注意","ちゅうい","6級から","","","964","常用漢字表","校正不要"
"全部","ぜんぶ","6級から","","","970","常用漢字表","校正不要"
"開始","かいし","6級から","","","972","常用漢字表","校正不要"
"将来","しょうらい","5級から","","","986","常用漢字表","校正不要"
"予算","よさん","6級から","","","987","常用漢字表","校正不要"
"目標","めじるし","6級から","","めじるし / もくひょう","989","常用漢字表","校正不要"
"通信","つうしん","6級から","","","991","常用漢字表","校正不要"
"分野","ぶんや","6級から","","","995","常用漢字表","校正不要"
"国内","こくない","6級から","","","1000","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"時刻","じこく","5級から","","","1004","常用漢字表","校正不要"
"発見","はっけん","6級から","","","1007","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"最高","さいこう","6級から","","","1009","常用漢字表","校正不要"
"利益","りえき","6級から","","りえき / りやく","1012","常用漢字表","校正不要"
"銀行","ぎんこう","6級から","","","1015","常用漢字表","校正不要"
"事務","じむ","6級から","","","1017","常用漢字表","校正不要"
"出版","しゅっぱん","6級から","","","1018","常用漢字表","校正不要"
"大会","たいかい","6級から","","","1021","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"練習","れんしゅう","6級から","","","1022","常用漢字表","校正不要"
"同様","どうよう","6級から","","","1031","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"大阪","おおさか","6級から","","","1034","常用漢字表（都道府県）","校正不要"
"共通","きょうつう","6級から","","","1035","常用漢字表","校正不要"
"現代","げんだい","6級から","","","1037","常用漢字表","校正不要"
"住宅","じゅうたく","5級から","","","1039","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"選挙","せんきょ","6級から","","","1040","常用漢字表","校正不要"
"大事","だいじ","6級から","","だいじ / おおごと","1044","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"批判","ひはん","5級から","","","1047","常用漢字表","校正不要"
"報道","ほうどう","6級から","","","1048","常用漢字表","校正不要"
"心配","しんぱい","6級から","","","1051","常用漢字表","校正不要"
"本日","ほんじつ","6級から","","","1052","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"残念","ざんねん","6級から","","","1053","常用漢字表","校正不要"
"業界","ぎょうかい","6級から","","","1057","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"相当","そうとう","6級から","","","1058","常用漢字表","校正不要"
"議員","ぎいん","6級から","","","1060","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"業務","ぎょうむ","6級から","","","1061","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"世紀","せいき","6級から","","","1069","常用漢字表","校正不要"
"演奏","えんそう","5級から","","","1070","常用漢字表","校正不要"
"家庭","かてい","6級から","","","1071","常用漢字表","校正不要"
"直接","ちょくせつ","6級から","","","1073","常用漢字表","校正不要"
"構成","こうせい","6級から","","","1077","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"文章","ぶんしょう","6級から","","ぶんしょう / もんじょう","1079","常用漢字表","校正不要"
"希望","きぼう","6級から","","","1082","常用漢字表","校正不要"
"取引","とりひき","6級から","","","1089","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"市民","しみん","6級から","","","1095","常用漢字表","校正不要"
"資金","しきん","6級から","","","1098","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"友達","ともだち","6級から","熟字訓","","1100","常用漢字表（付表・熟字訓）","校正不要"
"危険","きけん","5級から","","","1101","常用漢字表","校正不要"
"運営","うんえい","6級から","","","1102","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"導入","どうにゅう","6級から","","","1103","常用漢字表","校正不要"
"予想","よそう","6級から","","","1104","常用漢字表","校正不要"
"発売","はつばい","6級から","","","1112","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"話題","わだい","6級から","","","1116","常用漢字表","校正不要"
"建築","けんちく","6級から","","","1117","常用漢字表","校正不要"
"印象","いんしょう","6級から","","","1118","常用漢字表","校正不要"
"課題","かだい","6級から","","","1120","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"事故","じこ","6級から","","じこ / ことゆえ","1122","常用漢字表","校正不要"
"学習","がくしゅう","6級から","","","1135","常用漢字表","校正不要"
"権利","けんり","5級から","","","1140","常用漢字表","校正不要"
"発展","はってん","5級から","","","1141","常用漢字表","校正不要"
"記録","きろく","6級から","","","1142","常用漢字表","校正不要"
"計算","けいさん","6級から","","","1145","常用漢字表","校正不要"
"種類","しゅるい","6級から","","","1147","常用漢字表","校正不要"
"設計","せっけい","6級から","","","1148","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"現場","げんば","6級から","","げんば / げんじょう","1150","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"気分","きぶん","6級から","","","1152","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"昭和","しょうわ","6級から","","","1153","常用漢字表","校正不要"
"地球","ちきゅう","6級から","","","1154","常用漢字表","校正不要"
"移動","いどう","6級から","","","1155","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"発行","はっこう","6級から","","","1160","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"宗教","しゅうきょう","5級から","","","1162","常用漢字表","校正不要"
"改正","かいせい","6級から","","","1163","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"数字","すうじ","6級から","","","1165","常用漢字表","校正不要"
"不安","ふあん","6級から","","","1172","常用漢字表","校正不要"
"広告","こうこく","6級から","","","1175","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"土地","とち","6級から","","とち / どじ / どち","1176","常用漢字表","校正不要"
"有名","ゆうめい","6級から","","","1178","常用漢字表","校正不要"
"言語","げんご","6級から","","げんご / ごんご / げんきょ","1179","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"共同","きょうどう","6級から","","","1180","常用漢字表","校正不要"
"年代","ねんだい","6級から","","","1181","常用漢字表","校正不要"
"要求","ようきゅう","6級から","","","1184","常用漢字表","校正不要"
"教授","きょうじゅ","6級から","","","1186","常用漢字表","校正不要"
"戦略","せんりゃく","6級から","","","1188","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"営業","えいぎょう","6級から","","","1189","常用漢字表","校正不要"
"無理","むり","6級から","","","1191","常用漢字表","校正不要"
"役割","やくわり","5級から","","","1192","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"改善","かいぜん","5級から","","","1194","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"拡大","かくだい","5級から","","","1204","常用漢字表","校正不要"
"道路","どうろ","6級から","","","1208","常用漢字表","校正不要"
"憲法","けんぽう","5級から","","けんぽう / けんぼう","1211","常用漢字表","校正不要"
"感謝","かんしゃ","6級から","","","1213","常用漢字表","校正不要"
"感覚","かんかく","6級から","","","1214","常用漢字表","校正不要"
"高校","こうこう","6級から","","","1217","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"仕方","しかた","6級から","","","1221","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"実行","じっこう","6級から","","","1223","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"記者","きしゃ","6級から","","","1226","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"通常","つうじょう","6級から","","","1227","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"現状","げんじょう","6級から","","","1229","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"建設","けんせつ","6級から","","","1230","常用漢字表","校正不要"
"先日","せんじつ","6級から","","","1235","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"最新","さいしん","6級から","","","1236","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"中央","ちゅうおう","6級から","","","1237","常用漢字表","校正不要"
"平均","へいきん","6級から","","へいきん / へいぎん","1240","常用漢字表","校正不要"
"物語","ものがたり","6級から","","","1242","常用漢字表","校正不要"
"財政","ざいせい","6級から","","","1247","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"追加","ついか","6級から","","","1250","常用漢字表","校正不要"
"警察","けいさつ","5級から","","","1254","常用漢字表","校正不要"
"雑誌","ざっし","5級から","","","1256","常用漢字表","校正不要"
"提案","ていあん","6級から","","","1257","常用漢字表","校正不要"
"大人","おとな","6級から","熟字訓","おとな / たいじん / だいにん / うし / おおびと","1260","常用漢字表（付表・熟字訓）","校正不要"
"様子","ようす","6級から","","","1262","常用漢字表","校正不要"
"生徒","せいと","6級から","","","1265","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"総合","そうごう","6級から","","","1268","常用漢字表","校正不要"
"活用","かつよう","6級から","","","1271","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"身体","からだ","6級から","","からだ / しんたい / しんだい / しんてい","1274","常用漢字表","校正不要"
"整備","せいび","6級から","","","1275","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"規定","きてい","6級から","","","1277","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"想像","そうぞう","6級から","","","1278","常用漢字表","校正不要"
"満足","まんぞく","6級から","","","1285","常用漢字表","校正不要"
"規模","きぼ","5級から","","","1286","常用漢字表","校正不要"
"本当","ほんとう","6級から","","ほんとう / ほんと","1288","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"以降","いこう","5級から","","","1289","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"法人","ほうじん","6級から","","","1291","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"犯罪","はんざい","6級から","","","1293","常用漢字表","校正不要"
"午前","ごぜん","6級から","","","1294","常用漢字表","校正不要"
