"熟語","読み","出題級","種類","ほかの読み","よく使う順位","出典","校正状態"
"第三者","だいさんしゃ","6級から","","","4601","常用漢字表","校正不要"
"視線","しせん","5級から","","","4602","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"神話","しんわ","6級から","","","4603","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"四月","しがつ","6級から","","しがつ / よつき","4604","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"予選","よせん","6級から","","","4606","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"解明","かいめい","6級から","","","4607","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"収支","しゅうし","5級から","","","4608","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"今夜","こんや","6級から","","","4617","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"活発","かっぱつ","6級から","","","4622","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"容量","ようりょう","6級から","","","4624","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"基金","ききん","6級から","","","4625","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"修行","しゅぎょう","6級から","","","4627","常用漢字表","校正不要"
"飛行","ひこう","6級から","","ひこう / ひぎょう","4629","常用漢字表","校正不要"
"警備","けいび","5級から","","","4631","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"余地","よち","6級から","","","4633","常用漢字表","校正不要"
"発送","はっそう","6級から","","","4636","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"不安定","ふあんてい","6級から","","","4638","国語辞典(JMdict)｜三字熟語","校正不要"
"送料","そうりょう","6級から","","","4639","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"民事","みんじ","6級から","","","4641","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"規格","きかく","6級から","","","4646","常用漢字表","校正不要"
"景色","けしき","6級から","熟字訓","けしき / けいしょく","4647","常用漢字表（付表・熟字訓）","校正不要"
"配分","はいぶん","6級から","","","4650","常用漢字表","校正不要"
"店長","てんちょう","6級から","","","4653","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"長崎","ながさき","6級から","","","4654","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"国土","こくど","6級から","","こくど / くにつち","4655","常用漢字表","校正不要"
"自動的","じどうてき","6級から","","","4667","国語辞典(JMdict)｜三字熟語","校正不要"
"都会","とかい","6級から","","","4668","常用漢字表","校正不要"
"交代","こうたい","6級から","","こうたい / こうだい","4681","常用漢字表","校正不要"
"下落","げらく","6級から","","","4682","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"花火","はなび","6級から","","","4683","常用漢字表","校正不要"
"回数","かいすう","6級から","","","4684","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"度目","どめ","6級から","","","4688","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"講習","こうしゅう","6級から","","","4692","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"寄付","きふ","6級から","","","4694","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"先行","せんこう","6級から","","","4697","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"表紙","ひょうし","6級から","","","4698","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"視覚","しかく","5級から","","","4705","常用漢字表","校正不要"
"保持","ほじ","6級から","","","4706","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"工作","こうさく","6級から","","","4709","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"大陸","たいりく","6級から","","","4714","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"看護","かんご","5級から","","","4715","常用漢字表","校正不要"
"角度","かくど","6級から","","","4723","常用漢字表","校正不要"
"定着","ていちゃく","6級から","","","4727","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"必然","ひつぜん","6級から","","","4729","常用漢字表","校正不要"
"出力","しゅつりょく","6級から","","","4733","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"指標","しひょう","6級から","","","4735","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"順番","じゅんばん","6級から","","","4741","常用漢字表","校正不要"
"応答","おうとう","6級から","","","4742","常用漢字表","校正不要"
"語学","ごがく","6級から","","","4745","常用漢字表","校正不要"
"録画","ろくが","6級から","","","4750","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"改行","かいぎょう","6級から","","","4753","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"愛知","あいち","6級から","","","4754","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"記号","きごう","6級から","","","4758","常用漢字表","校正不要"
"再建","さいけん","6級から","","さいけん / さいこん","4760","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"奈良","なら","6級から","","","4762","常用漢字表（都道府県）","校正不要"
"幼児","おさなご","5級から","","おさなご / ようじ","4764","常用漢字表","校正不要"
"電波","でんぱ","6級から","","","4765","常用漢字表","校正不要"
"生成","せいせい","6級から","","せいせい / きなり","4771","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"大分","だいぶ","6級から","","だいぶ / だいぶん","4774","常用漢字表（都道府県）","校正不要"
"新人","しんじん","6級から","","","4775","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"表記","ひょうき","6級から","","","4776","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"情熱","じょうねつ","6級から","","","4777","常用漢字表","校正不要"
"昨夜","ゆうべ","6級から","","ゆうべ / ゆんべ / よべ / さくや","4778","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"正解","せいかい","6級から","","","4780","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"私的","してき","5級から","","してき / わたしてき","4781","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"殺害","さつがい","6級から","","さつがい / せつがい","4786","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"親切","しんせつ","6級から","","","4789","常用漢字表","校正不要"
"昼間","ひるま","6級から","","ひるま / ちゅうかん","4792","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"絵画","かいが","6級から","","","4794","常用漢字表","校正不要"
"対戦","たいせん","6級から","","","4797","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"来日","らいにち","6級から","","らいにち / らいじつ","4798","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"小型","こがた","6級から","","","4800","常用漢字表","校正不要"
"海岸","かいがん","6級から","","","4806","常用漢字表","校正不要"
"視野","しや","5級から","","","4807","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"天井","てんじょう","6級から","","","4808","常用漢字表","校正不要"
"治安","ちあん","6級から","","ちあん / じあん","4817","常用漢字表","校正不要"
"認証","にんしょう","5級から","","","4818","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"申告","しんこく","6級から","","","4820","常用漢字表","校正不要"
"論点","ろんてん","5級から","","","4821","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"三月","さんがつ","6級から","","さんがつ / みつき","4824","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"出荷","しゅっか","6級から","","","4827","常用漢字表","校正不要"
"順調","じゅんちょう","6級から","","","4829","常用漢字表","校正不要"
"貴方","きほう","5級から","","きほう / あなた / あんた","4839","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
